Word,zipf
的,7.79
是,7.17
在,7.16
了,7.14
我,6.95
和,6.86
有,6.83
不,6.76
人,6.74
你,6.7
也,6.7
为,6.69
他,6.68
这,6.68
中,6.65
年,6.64
与,6.64
对,6.63
就,6.6
都,6.59
一个,6.56
上,6.55
说,6.55
吗,6.53
我们,6.53
会,6.48
到,6.48
要,6.46
来,6.45
中国,6.44
月,6.44
被,6.42
他们,6.4
没有,6.38
还,6.38
而,6.36
个,6.35
可以,6.34
后,6.33
等,6.33
但,6.32
于,6.31
什么,6.3
日,6.3
这个,6.3
将,6.29
能,6.29
并,6.29
很,6.27
一,6.27
让,6.26
国家,6.25
从,6.25
以,6.24
好,6.24
大,6.23
她,6.23
着,6.22
多,6.21
自己,6.2
问题,6.19
给,6.18
时,6.18
把,6.17
看,6.16
去,6.16
又,6.14
美国,6.14
或,6.12
因为,6.11
下,6.1
之,6.1
现在,6.1
过,6.1
不是,6.1
里,6.09
新,6.09
由,6.08
做,6.08
及,6.08
地,6.08
用,6.07
没,6.07
怎么,6.07
就是,6.06
已经,6.06
更,6.06
这些,6.05
得,6.04
所,6.04
发展,6.03
开始,6.03
想,6.03
最,6.03
这样,6.03
公司,6.02
它,6.02
政府,6.02
可能,6.01
那,6.01
社会,5.99
工作,5.99
可,5.98
三,5.98
吧,5.98
进行,5.97
如果,5.97
知道,5.97
日本,5.96
其,5.96
该,5.96
世界,5.96
向,5.94
只,5.94
不能,5.94
计划,5.94
成为,5.93
时间,5.93
前,5.93
认为,5.93
需要,5.93
出,5.92
已,5.92
啊,5.92
时候,5.89
当,5.89
小,5.89
国际,5.89
地区,5.89
再,5.89
却,5.88
们,5.88
内,5.88
才,5.87
使用,5.87
经济,5.87
活动,5.86
爱,5.86
政治,5.85
第,5.85
谁,5.85
应该,5.85
但是,5.85
历史,5.85
以及,5.84
真的,5.84
组织,5.84
不会,5.84
情况,5.84
人民,5.83
其他,5.83
发生,5.83
网站,5.82
香港,5.82
主要,5.82
号,5.82
地方,5.82
生活,5.81
这种,5.81
通过,5.8
你们,5.8
快,5.79
同时,5.79
事,5.79
必须,5.79
为了,5.79
所有,5.78
跟,5.78
比,5.78
所以,5.78
请,5.77
还有,5.77
发现,5.77
包括,5.77
长,5.77
决定,5.76
一些,5.76
如何,5.76
呢,5.76
全国,5.76
出现,5.76
还是,5.76
为什么,5.76
觉得,5.75
重要,5.75
一样,5.75
企业,5.75
其中,5.75
北京,5.75
高,5.75
影响,5.74
则,5.73
喜欢,5.73
文化,5.73
起来,5.73
作为,5.72
学生,5.72
希望,5.72
技术,5.72
提供,5.72
钱,5.72
那么,5.72
要求,5.72
不过,5.72
至,5.72
不同,5.71
一定,5.71
电影,5.71
不要,5.7
像,5.7
点,5.7
万,5.7
使,5.7
研究,5.69
只是,5.69
关系,5.69
听,5.69
这么,5.69
此,5.68
系统,5.68
根据,5.68
出来,5.68
起,5.68
服务,5.67
两,5.67
这里,5.67
自,5.67
只有,5.67
结果,5.67
任何,5.67
看到,5.66
带,5.66
一起,5.66
因此,5.66
国,5.66
走,5.66
如,5.66
游戏,5.66
虽然,5.66
代表,5.65
吃,5.65
今天,5.65
支持,5.65
而且,5.65
